state,cases,deaths,Population,Mask Use,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accomodation and Food Services,Other Services,Public Administration,total_li_workers_employed,low_income_worker_job_loss_rate,State Code,Region,Division
Minnesota,415361,5382.0,5709852,113278,0.10319540229885100,0.12233333333333300,0.15570114942528700,0.2431264367816090,0.3755287356321840,1518.2000000000000,7148.7,2904.7,2453.1,1065.2,1103.3,763.5,1146.0,4322.1,2996.3,18819.5,7377.8,30214.7,6231.5,1207.6,1422255,0.0655845822303314,MN,Midwest,West North Central
Mississippi,215811,4787.0,2958141,11797,0.06781707317073170,0.08448780487804880,0.11953658536585400,0.20123170731707300,0.5268780487804880,-27.0,659.8000000000000,-2357.5,946.3,474.6,563.2,-505.3,113.1,-535.4,-4118.5,6475.3,950.5,5363.7,361.1,849.5,764682,0.0154273279611655,MS,South,East South Central
Missouri,418637,5887.0,6153998,73067,0.1340608695652170,0.12716521739130400,0.1516521739130440,0.21053913043478300,0.37655652173913000,1357.7,5394.8,-1944.1,1932.1,2322.8,4715.400000000000,-280.3,1363.7,3552.0,-6541.4,8532.9,5877.1,18478.0,3573.7000000000000,1407.7,1624984,0.0326569369298405,MO,Midwest,West North Central
Montana,81701,962.0,1087075,16857,0.15085714285714300,0.17158928571428600,0.14489285714285700,0.21514285714285700,0.3175357142857140,97.5,998.6,29.9,526.6,242.7,382.8,-418.7,15.4,1239.8,583.2,722.5,-332.9,2846.2,-175.0,-54.4,281860,0.0243276804087135,MT,West,Mountain
Nebraska,167795,1690.0,1962642,10968,0.12380645161290300,0.11770967741935500,0.145752688172043,0.26131182795698900,0.35145161290322600,158.2,395.7,208.8,541.9,695.8,149.0,-378.5,-78.2,2097.0,-1854.7,1264.9,1264.0,4595.8,1274.3,433.5,548221,0.0181824483191997,NE,Midwest,West North Central
Nevada,225165,3136.0,3115648,274967,0.029294117647058800,0.041823529411764700,0.10676470588235300,0.19358823529411800,0.6286470588235290,-488.1,-1165.3,-3496.1000000000000,1730.1,-217.1,1352.7,-328.3,818.7000000000000,5782.900000000000,2547.0,3671.3,5771.3,56057.2,1073.3,239.8,774427,0.0968031848063148,NV,West,Mountain
New Hampshire,44028,759.0,1378587,117518,0.0551,0.0576,0.0735,0.1876,0.6263,321.1,3162.5,-291.4,352.9,-138.9,247.0,-262.6,-69.5,699.0,2521.4,3181.5,-68.2,4364.7,1529.1,546.7,338283,0.0517850438833757,NH,Northeast,New England
New Jersey,479381,19042.0,9271689,125982,0.022904761904761900,0.02123809523809520,0.04942857142857140,0.1579047619047620,0.7484285714285710,3974.3,14777.7,1821.1,2113.6,-658.8,3366.5,883.1,281.2,14148.1,-1398.0,28484.2,11723.0,46508.9,18282.5,2337.7,2028647,0.076889670800292,NJ,Northeast,Middle Atlantic
New Mexico,142897,2479.0,2118390,28893,0.04218181818181820,0.04963636363636360,0.0786060606060606,0.15969696969697000,0.6700000000000000,263.1,1544.5,-11.3,2165.1,1082.3,529.3,646.2,125.5,1335.6,-114.5,3672.1,1194.1,9711.0,1954.9,1279.3,503616,0.0573710922607701,NM,West,Mountain
New York,2307860,37557.0,20108296,578312,0.022838709677419400,0.022451612903225800,0.04938709677419360,0.1352741935483870,0.7699354838709680,13453.9,65609.3,27138.3,10856.0,3058.8,6834.0,7955.5,4115.6,26751.6,29970.9,50448.7,39637.2,159286.5,47987.8,4314.9,4528484,0.1166642081544290,NY,Northeast,Middle Atlantic
North Carolina,541070,6811.0,10449445,205756,0.05378,0.04656,0.09803,0.19832,0.60331,358.4,2395.2000000000000,-5570.3,-64.90000000000000,-550.3,687.9,-6017.9,1138.8,3192.3,10768.4,18353.5,5983.6,30971.8,6786.5,2444.3,2555721,0.0296417331938814,NC,South,South Atlantic
